time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-07T09:07:50.540Z,36.4703333,-121.0423333,7.1,0.93,md,18.0,117.0,0.01961,0.06,nc,nc73868505,2023-04-07T12:17:19.983Z,"11km SE of Pinnacles, CA",earthquake,0.27,0.34,0.298,15.0,reviewed,nc,nc
2023-04-07T08:57:59.290Z,35.5013333,-118.3893333,8.57,1.0,ml,14.0,72.0,0.1753,0.13,ci,ci40437536,2023-04-07T16:14:17.845Z,"13km SE of Bodfish, CA",earthquake,0.28,1.27,0.126,8.0,reviewed,ci,ci
2023-04-07T08:55:21.602Z,66.2207,-146.5874,0.0,1.6,ml,,,,1.04,ak,ak0234gk7ysg,2023-04-07T08:57:41.870Z,"34 km W of Birch Creek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T08:50:41.432Z,61.6404,-149.527,31.6,1.5,ml,,,,0.36,ak,ak0234gk6xqn,2023-04-07T08:52:20.259Z,Southern Alaska,earthquake,,0.2,,,automatic,ak,ak
2023-04-07T08:45:28.211Z,60.5828,-146.8808,13.3,2.5,ml,,,,0.58,ak,ak0234gk5u5r,2023-04-07T08:47:22.943Z,"33 km SSW of Tatitlek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T08:38:27.900Z,37.461,-118.8435,3.12,0.76,md,9.0,327.0,0.1293,0.03,nc,nc73868495,2023-04-07T11:46:14.795Z,"18km SW of Toms Place, CA",earthquake,1.37,2.54,0.204,9.0,reviewed,nc,nc
2023-04-07T08:38:04.905Z,56.9271,-158.1488,0.0,2.0,ml,,,,0.56,ak,ak0234gk4abu,2023-04-07T18:51:44.070Z,Alaska Peninsula,earthquake,,0.6,,,automatic,ak,ak
2023-04-07T08:29:56.497Z,60.6807,-152.4173,105.1,1.7,ml,,,,0.34,ak,ak0234gk2gv5,2023-04-07T08:32:03.249Z,"60 km W of Salamatof, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-04-07T08:29:37.654Z,39.1205,40.4259,1.779,4.5,mb,44.0,62.0,0.898,0.78,us,us6000k2m4,2023-04-07T12:11:44.040Z,"26 km NNW of Bingöl, Turkey",earthquake,3.48,5.22,0.115,22.0,reviewed,us,us
2023-04-07T08:26:13.050Z,32.1701667,-115.0671667,22.35,1.82,ml,7.0,249.0,0.1239,0.18,ci,ci40437528,2023-04-07T08:29:49.044Z,"7km WSW of Estacion Coahuila, B.C., MX",earthquake,2.99,1.26,0.29,10.0,automatic,ci,ci
2023-04-07T08:24:29.920Z,38.8484993,-122.8143311,1.21,0.93,md,8.0,112.0,0.00935,0.02,nc,nc73868490,2023-04-07T08:38:12.645Z,"8km WNW of Cobb, CA",earthquake,0.66,1.69,0.22,8.0,automatic,nc,nc
2023-04-07T08:22:22.660Z,56.175,-159.493166666667,20.28,0.32,ml,6.0,132.0,,0.12,av,av91097078,2023-04-07T17:24:43.200Z,Alaska Peninsula,earthquake,0.51,0.79,0.599805904875987,7.0,reviewed,av,av
2023-04-07T08:17:23.830Z,38.787,-122.768,1.67,1.0,md,27.0,81.0,0.01507,0.04,nc,nc73868485,2023-04-07T19:09:10.444Z,"2km NW of The Geysers, CA",earthquake,0.19,0.28,0.215,21.0,reviewed,nc,nc
2023-04-07T08:08:08.570Z,38.8323326,-122.8168335,1.79,0.9,md,13.0,68.0,0.01037,0.02,nc,nc73868480,2023-04-07T08:20:10.525Z,"8km NW of The Geysers, CA",earthquake,0.24,0.55,0.28,13.0,automatic,nc,nc
2023-04-07T08:04:03.440Z,37.4738333,-118.8448333,4.83,1.27,md,16.0,197.0,0.1167,0.03,nc,nc73868470,2023-04-07T09:15:15.899Z,"18km SW of Toms Place, CA",earthquake,0.73,1.57,0.047,14.0,reviewed,nc,nc
